ID,DateTime,Volume
1,1/2/2014 09:15,448
2,1/2/2014 09:16,313
3,1/2/2014 09:17,509
4,1/2/2014 09:18,277
5,1/2/2014 09:19,269
6,1/2/2014 09:20,301
7,1/2/2014 09:21,155
8,1/2/2014 09:22,299
9,1/2/2014 09:23,943
10,1/2/2014 09:24,185
11,1/2/2014 09:25,77
12,1/2/2014 09:26,102
13,1/2/2014 09:27,304
14,1/2/2014 09:28,310
15,1/2/2014 09:29,328
16,1/2/2014 09:30,749
17,1/2/2014 09:31,232
18,1/2/2014 09:32,146
19,1/2/2014 09:33,116
20,1/2/2014 09:34,102
21,1/2/2014 09:35,370
22,1/2/2014 09:36,153
23,1/2/2014 09:37,284
24,1/2/2014 09:38,254
25,1/2/2014 09:39,203
26,1/2/2014 09:40,534
27,1/2/2014 09:41,264
28,1/2/2014 09:42,84
29,1/2/2014 09:43,510
30,1/2/2014 09:44,238
31,1/2/2014 09:45,461
32,1/2/2014 09:46,252
33,1/2/2014 09:47,124
34,1/2/2014 09:48,169
35,1/2/2014 09:49,132
36,1/2/2014 09:50,69
37,1/2/2014 09:51,66
38,1/2/2014 09:52,110
39,1/2/2014 09:53,122
40,1/2/2014 09:54,86
41,1/2/2014 09:55,91
42,1/2/2014 09:56,101
43,1/2/2014 09:57,93
44,1/2/2014 09:58,83
45,1/2/2014 09:59,68
46,1/2/2014 10:00,114
47,1/2/2014 10:01,161
48,1/2/2014 10:02,82
49,1/2/2014 10:03,96
50,1/2/2014 10:04,50
51,1/2/2014 10:05,66
52,1/2/2014 10:06,102
53,1/2/2014 10:07,215
54,1/2/2014 10:08,65
55,1/2/2014 10:09,183
56,1/2/2014 10:10,242
57,1/2/2014 10:11,197
58,1/2/2014 10:12,451
59,1/2/2014 10:13,231
60,1/2/2014 10:14,64
61,1/2/2014 10:15,140
62,1/2/2014 10:16,285
63,1/2/2014 10:17,156
64,1/2/2014 10:18,246
65,1/2/2014 10:19,126
66,1/2/2014 10:20,102
67,1/2/2014 10:21,92
68,1/2/2014 10:22,21
69,1/2/2014 10:23,52
70,1/2/2014 10:24,53
71,1/2/2014 10:25,65
72,1/2/2014 10:26,41
73,1/2/2014 10:27,45
74,1/2/2014 10:28,34
75,1/2/2014 10:29,41
76,1/2/2014 10:30,26
77,1/2/2014 10:31,97
78,1/2/2014 10:32,75
79,1/2/2014 10:33,31
80,1/2/2014 10:34,96
81,1/2/2014 10:35,140
82,1/2/2014 10:36,330
83,1/2/2014 10:37,601
84,1/2/2014 10:38,567
85,1/2/2014 10:39,241
86,1/2/2014 10:40,294
87,1/2/2014 10:41,217
88,1/2/2014 10:42,311
89,1/2/2014 10:43,517
90,1/2/2014 10:44,125
91,1/2/2014 10:45,588
92,1/2/2014 10:46,195
93,1/2/2014 10:47,198
94,1/2/2014 10:48,185
95,1/2/2014 10:49,84
96,1/2/2014 10:50,258
97,1/2/2014 10:51,160
98,1/2/2014 10:52,146
99,1/2/2014 10:53,77
100,1/2/2014 10:54,92
101,1/2/2014 10:55,125
102,1/2/2014 10:56,62
103,1/2/2014 10:57,63
104,1/2/2014 10:58,38
105,1/2/2014 10:59,71
106,1/2/2014 11:00,92
107,1/2/2014 11:01,77
108,1/2/2014 11:02,87
109,1/2/2014 11:03,49
110,1/2/2014 11:04,55
111,1/2/2014 11:05,75
112,1/2/2014 11:06,45
113,1/2/2014 11:07,124
114,1/2/2014 11:08,232
115,1/2/2014 11:09,48
116,1/2/2014 11:10,106
117,1/2/2014 11:11,54
118,1/2/2014 11:12,28
119,1/2/2014 11:13,25
120,1/2/2014 11:14,30
121,1/2/2014 11:15,52
122,1/2/2014 11:16,52
123,1/2/2014 11:17,58
124,1/2/2014 11:18,71
125,1/2/2014 11:19,53
126,1/2/2014 11:20,126
127,1/2/2014 11:21,204
128,1/2/2014 11:22,118
129,1/2/2014 11:23,103
130,1/2/2014 11:24,142
131,1/2/2014 11:25,372
132,1/2/2014 11:26,101
133,1/2/2014 11:27,68
134,1/2/2014 11:28,18
135,1/2/2014 11:29,70
136,1/2/2014 11:30,107
137,1/2/2014 11:31,163
138,1/2/2014 11:32,205
139,1/2/2014 11:33,53
140,1/2/2014 11:34,64
141,1/2/2014 11:35,62
142,1/2/2014 11:36,32
143,1/2/2014 11:37,14
144,1/2/2014 11:38,8
145,1/2/2014 11:39,49
146,1/2/2014 11:40,35
147,1/2/2014 11:41,36
148,1/2/2014 11:42,44
149,1/2/2014 11:43,45
150,1/2/2014 11:44,50
151,1/2/2014 11:45,39
152,1/2/2014 11:46,14
153,1/2/2014 11:47,18
154,1/2/2014 11:48,34
155,1/2/2014 11:49,213
156,1/2/2014 11:50,69
157,1/2/2014 11:51,535
158,1/2/2014 11:52,113
159,1/2/2014 11:53,61
160,1/2/2014 11:54,39
161,1/2/2014 11:55,65
162,1/2/2014 11:56,36
163,1/2/2014 11:57,25
164,1/2/2014 11:58,34
165,1/2/2014 11:59,121
166,1/2/2014 13:00,109
167,1/2/2014 13:01,91
168,1/2/2014 13:02,100
169,1/2/2014 13:03,63
170,1/2/2014 13:04,34
171,1/2/2014 13:05,69
172,1/2/2014 13:06,65
173,1/2/2014 13:07,93
174,1/2/2014 13:08,133
175,1/2/2014 13:09,57
176,1/2/2014 13:10,58
177,1/2/2014 13:11,49
178,1/2/2014 13:12,27
179,1/2/2014 13:13,137
180,1/2/2014 13:14,58
181,1/2/2014 13:15,47
182,1/2/2014 13:16,53
183,1/2/2014 13:17,43
184,1/2/2014 13:18,40
185,1/2/2014 13:19,46
186,1/2/2014 13:20,94
187,1/2/2014 13:21,51
188,1/2/2014 13:22,30
189,1/2/2014 13:23,27
190,1/2/2014 13:24,83
191,1/2/2014 13:25,41
192,1/2/2014 13:26,48
193,1/2/2014 13:27,63
194,1/2/2014 13:28,29
195,1/2/2014 13:29,47
196,1/2/2014 13:30,79
197,1/2/2014 13:31,32
198,1/2/2014 13:32,33
199,1/2/2014 13:33,22
200,1/2/2014 13:34,22
201,1/2/2014 13:35,60
